Date,Settle
2014-02,100.09049999999999
2014-03,99.8404761904762
2014-04,101.22809523809526
2014-05,101.04782608695652
2014-06,104.40285714285714
2014-07,101.4378260869565
2014-08,94.97238095238095
2014-09,92.18857142857142
2014-10,83.60499999999999
2014-11,75.49049999999998
2014-12,59.60227272727273
2015-01,48.004761904761914
2015-02,52.02499999999999
2015-03,49.789090909090916
2015-04,56.24428571428571
2015-05,60.20428571428571
2015-06,60.250454545454545
2015-07,51.57869565217392
2015-08,43.56380952380953
2015-09,45.955454545454536
2015-10,46.98863636363637
2015-11,44.22904761904762
2015-12,38.699999999999996
2016-01,33.0095
2016-02,32.69476190476191
2016-03,39.58045454545454
2016-04,42.368095238095236
2016-05,47.55272727272727
2016-06,49.523181818181826
2016-07,45.77666666666667
2016-08,45.54086956521739
2016-09,45.873636363636365
2016-10,50.49285714285714
2016-11,46.64863636363636
2016-12,53.22571428571429
2017-01,53.51181818181818
2017-02,53.98350000000001
2017-03,50.263043478260876
2017-04,51.55526315789474
2017-05,48.946521739130446
2017-06,45.45136363636364
2017-07,46.87904761904762
2017-08,48.31043478260871
2017-09,50.22666666666667
2017-10,51.88863636363637
2017-11,56.909545454545444
2017-12,57.99250000000001
2018-01,63.60454545454545
2018-02,61.96499999999999
2018-03,62.68619047619048
2018-04,66.25
2018-05,69.75913043478259
2018-06,66.77952380952381
2018-07,69.08454545454543
2018-08,67.11565217391306
2018-09,69.8025
2018-10,70.75130434782609
2018-11,56.75636363636364
2018-12,49.311000000000014
2019-01,51.995
2019-02,55.46600000000001
2019-03,58.4904761904762
2019-04,63.92380952380952
2019-05,60.928260869565214
2019-06,54.880500000000005
2019-07,57.61347826086956
2019-08,54.70590909090909
2019-09,56.714761904761886
2019-10,54.05260869565217
2019-11,57.12333333333333
2019-12,59.65142857142856
2020-01,57.54772727272727
2020-02,50.84749999999998
2020-03,31.775454545454544
2020-04,24.694285714285712
2020-05,29.587619047619043
2020-06,38.54363636363635
2020-07,40.92739130434783
2020-08,42.68190476190476
2020-09,39.926818181818184
2020-10,39.870909090909095
2020-11,41.797619047619044
2020-12,47.23863636363637
