month,ttf,brent,import_price_gas,coal_price,des_heating,heating,des_storage,storage,des_demand,demand
2014-02,24.00673684210526,108.7061111111111,11.3,73.7,4308.417970553751,9199.46,70578.29381796546,58677.0,9023.33780909918,23363.0
2014-03,23.150047619047616,107.85761904761905,10.88,75.80000000000003,4546.389909864442,7944.060000000001,75730.83781448717,49656.0,9516.644351712812,15843.0
2014-04,20.649761904761906,108.05190476190477,10.73,75.59285714285714,5255.236115048147,5236.9000000000015,80780.06550892553,46999.0,12681.647123493116,6594.0
2014-05,19.502909090909093,109.21952380952379,10.2,75.55952380952381,6504.406179358835,3421.9600000000005,77124.44925649742,52790.0,14145.404221037938,3455.0
2014-06,17.533,111.9804761904762,9.77,73.14047619047616,6393.604924225081,1526.13,75129.99353122269,61207.0,13767.06203126937,1458.0
2014-07,16.665347826086954,107.84238095238095,9.27,74.70909090909093,5975.783578533736,648.24,72705.24971971475,69706.0,12573.869384083217,896.0
2014-08,18.380571428571425,103.32047619047619,9.14,77.16666666666667,6516.967719254124,1352.5,71053.04533876237,78570.0,13739.871747178453,2253.0
2014-09,22.299142857142858,98.25380952380954,9.24,74.33809523809525,5837.051929418959,1878.54,66051.42153519094,86577.0,13689.31959241655,5776.0
2014-10,22.998869565217397,87.9791304347826,9.77,72.34130434782608,5465.657468948875,4628.39,63235.491398286176,90772.0,11275.858229321315,9002.0
2014-11,23.209842105263153,80.45444444444442,8.9,73.17894736842106,5218.423941018474,7865.600000000002,64994.832426584275,93675.0,11937.435094234179,19427.0
2014-12,22.705545454545454,63.3447619047619,9.83,69.9857142857143,5617.336296024579,11240.280000000002,66839.00544550284,88351.0,16124.950410084994,29527.0
2015-01,19.87633333333333,49.68,9.25,57.37368421052632,5210.833967750999,11908.05,68297.3142068604,75540.0,13961.600006068875,34843.0
2015-02,22.17005,58.44052631578947,8.27,62.12631578947368,5718.447970553753,10609.490000000002,69989.29381796546,58088.0,18819.33780909918,33159.0
2015-03,21.532818181818183,56.934999999999995,8.27,59.73181818181819,5551.10990986444,8948.779999999999,66565.83781448717,40491.0,15718.644351712812,22045.0
2015-04,21.408285714285714,60.96523809523811,6.7744,58.771428571428594,6215.646115048146,6197.31,65663.06550892553,31882.0,16420.647123493116,10333.0
