,month,ttf,brent,coal_price,exchange_rate,des_heating,heating,des_storage,storage,WTI_oil
0,2014-02,24.00673684210526,108.7061111111111,73.7,1.365285736322403,89.75870771986982,191.65541666666664,705.7829381796546,586.77,100.0905
1,2014-03,23.150047619047616,107.85761904761904,75.80000000000003,1.3825661000751317,94.7164564555092,165.50125000000003,757.3083781448717,496.56,99.8404761904762
2,2014-04,20.649761904761903,108.05190476190477,75.59285714285714,1.380622603676536,109.48408573016972,109.10208333333334,807.8006550892553,469.99,101.22809523809526
3,2014-05,19.502909090909093,109.2195238095238,75.55952380952381,1.3745975548570806,135.50846206997574,71.29083333333334,771.2444925649742,527.9,101.04782608695652
4,2014-06,17.533,111.9804761904762,73.14047619047616,1.3596893832797097,133.2001025880225,31.794375,751.2999353122269,612.07,104.40285714285714
5,2014-07,16.665347826086954,107.84238095238096,74.70909090909093,1.355102502781412,124.49549121945276,13.505,727.0524971971474,697.06,101.4378260869565
6,2014-08,18.380571428571425,103.3204761904762,77.16666666666667,1.3323321228935605,135.77016081779428,28.17708333333333,710.5304533876238,785.7,94.97238095238096
7,2014-09,22.299142857142854,98.25380952380954,74.33809523809525,1.2917163101109592,121.60524852956166,39.13625,660.5142153519093,865.77,92.18857142857142
8,2014-10,22.9988695652174,87.9791304347826,72.34130434782608,1.2683892716532168,113.8678639364349,96.42479166666668,632.3549139828617,907.72,83.60499999999999
9,2014-11,23.209842105263156,80.45444444444442,73.17894736842106,1.24764044880867,108.71716543788484,163.86666666666667,649.9483242658429,936.75,75.49049999999998
10,2014-12,22.70554545454545,63.3447619047619,69.9857142857143,1.2323475765145344,117.02783950051209,234.17250000000004,668.3900544550285,883.51,59.60227272727273
11,2015-01,19.87633333333333,49.68,57.37368421052632,1.1659787622365083,108.55904099481252,248.084375,682.973142068604,755.4,48.00476190476192
12,2015-02,22.17005,58.44052631578947,62.12631578947368,1.1355303823947906,119.13433271986986,221.03104166666668,699.8929381796546,580.88,52.02499999999999
13,2015-03,21.532818181818183,56.935,59.73181818181819,1.0845803510059009,115.64812312217582,186.43291666666664,665.6583781448717,404.91,49.78909090909092
