,month,D_ttf,D_brent,D_coal,D_exchange_rate,D_des_storage,D_WTI,des_heating
1,2014-03,-0.8566892230576428,-0.8484920634920599,2.1000000000000227,0.01728036375272879,51.52543996521706,-0.2500238095238103,94.7164564555092
2,2014-04,-2.500285714285713,0.19428571428572639,-0.20714285714288394,-0.00194349639859559,50.49227694438366,1.3876190476190686,109.48408573016972
3,2014-05,-1.14685281385281,1.1676190476190413,-0.03333333333333144,-0.006025048819455536,-36.55616252428115,-0.1802691511387451,135.50846206997574
4,2014-06,-1.9699090909090913,2.7609523809523893,-2.419047619047646,-0.014908171577370899,-19.944557252747245,3.355031055900625,133.2001025880225
5,2014-07,-0.8676521739130472,-4.138095238095232,1.5686147186147679,-0.004586880498297585,-24.24743811507949,-2.9650310559006385,124.49549121945276
6,2014-08,1.7152236024844711,-4.521904761904764,2.4575757575757393,-0.022770379887851577,-16.522043809523666,-6.465445134575546,135.77016081779428
7,2014-09,3.9185714285714255,-5.066666666666663,-2.828571428571422,-0.04061581278260129,-50.01623803571442,-2.7838095238095377,121.60524852956166
8,2014-10,0.6997267080745502,-10.274679089026932,-1.9967908902691676,-0.02332703845774242,-28.159301369047625,-8.583571428571432,113.8678639364349
9,2014-11,0.21097254004575916,-7.524685990338185,0.8376430205949816,-0.02074882284454671,17.593410282981154,-8.114500000000007,108.71716543788484
10,2014-12,-0.5042966507177091,-17.109682539682517,-3.1932330827067688,-0.015292872294135673,18.44173018918559,-15.888227272727256,117.02783950051209
11,2015-01,-2.8292121212121195,-13.664761904761903,-12.612030075187974,-0.0663688142780261,14.583087613575572,-11.597510822510806,108.55904099481252
12,2015-02,2.2937166666666684,8.76052631578947,4.7526315789473585,-0.030448379841717665,16.919796111050573,4.020238095238071,119.13433271986986
13,2015-03,-0.6372318181818173,-1.5055263157894672,-2.394497607655488,-0.05095003138888976,-34.23456003478293,-2.235909090909068,115.64812312217582
14,2015-04,-0.12453246753246816,4.030238095238104,-0.9603896103895977,-0.004914760589599609,-9.02772305561632,6.455194805194786,129.49262739683638
15,2015-05,-0.9903809523809528,4.635761904761878,-0.9189285714285944,0.036923666279037315,-94.64616252428118,3.960000000000001,134.71908706997573
16,2015-06,-0.13485930735931007,-1.8969090909090767,0.6520454545454513,0.004861790638465369,-25.184557252747254,0.04616883116884196,136.15364425468917
17,2015-07,0.4716501976284633,-7.082272727272731,-0.25216450216449715,-0.02156372810069751,-14.627438115079485,-8.671758893280632,147.10715788611944
18,2015-08,-1.296552795031058,-8.40229437229437,-2.7928571428571516,0.013731486061838716,13.317956190476252,-8.014886128364388,137.43016081779427
19,2015-09,-0.3660974025974042,0.21380952380953033,-2.2857142857142847,0.009899027677841454,157.01376196428566,2.3916450216450045,133.83649852956168
20,2015-10,-0.7864090909090891,0.7807575757575762,-1.8806277056277096,-0.0005361762913789203,21.700698630952388,1.0331818181818306,140.17536393643488
21,2015-11,-0.8143506493506507,-3.307090909090917,0.1718181818182032,-0.04805912909569687,14.593410282980926,-2.759588744588747,98.52466543788478
22,2015-12,-1.496285714285717,-6.997454545454545,-4.555909090909104,0.013568404298391679,33.521730189185746,-5.529047619047617,82.8667978338454
23,2016-01,-2.1765499999999935,-6.69744019138755,-1.4354066985645844,-0.00175489994309741,64.02308761357563,-5.6905,139.0225826614792
24,2016-02,-1.6188785714285725,1.3443947368420979,-1.3461842105263102,0.023182931400481,0.46979611105052754,-0.3147380952380914,93.30370771986983
25,2016-03,-0.19584415584415282,6.1948636363636425,1.081590909090906,0.002065642033057591,17.985439965217097,6.885692640692632,126.08395645550918
26,2016-04,-0.04939393939394421,3.635303030303021,0.3694805194805255,0.021931437725359215,-23.397723055616325,2.7876406926407,123.80554406350304
27,2016-05,1.105666666666668,4.352380952380969,2.7761904761904788,-0.002513496390669001,-49.8561625242811,5.184632034632024,123.59971206997572
28,2016-06,1.3951363636363592,2.1877705627705453,5.006601731601705,-0.007045420733365004,2.655442747252664,1.9704545454545652,127.59843592135584
29,2016-07,-0.02061255411255125,-3.595818181818167,5.971136363636376,-0.01827550966502267,17.042561884920588,-3.746515151515162,132.91569955278612
30,2016-08,-2.0488716356107624,0.8416086956521553,1.497934782608695,0.014568027255451144,29.027956190476175,-0.235797101449279,131.57682748446095
31,2016-09,0.6396660079051362,0.12548654244307755,4.19337474120082,0.0006641180147768377,-33.156238035714296,0.33276679841897305,117.71629019622834
32,2016-10,3.4971580086580083,3.91240476190476,13.909523809523819,-0.017607475514019866,-4.389301369047644,4.619220779220775,146.31223893643488
33,2016-11,1.4509329004328997,-4.101999999999997,5.540476190476184,-0.023290289428842925,-5.216589717019019,-3.8442207792207768,139.9061237712182
34,2016-12,-0.40180909090909367,7.609119047619046,-4.5,-0.026195450262590292,-42.76826981081422,6.577077922077926,125.73242283384536
35,2017-01,2.1611727272727315,0.7093809523809469,3.520634920634933,0.007951844822277065,74.26308761357564,0.28610389610388864,159.72779099481244
36,2017-02,-0.3302227272727265,0.49984210526316275,-4.626023391812893,0.0029157080433586113,-53.83020388894954,0.4716818181818283,108.84495771986984
37,2017-03,-3.4328543478260887,-3.4211899313501206,-6.879290617848966,0.0036899284176203917,28.615439965217092,-3.7204565217391234,96.71562312217584
38,2017-04,-0.012011441647596044,1.2927688787185403,2.647711670480575,0.002562950486722171,41.98227694438367,1.2922196796338596,140.62741906350303
39,2017-05,-0.3396842105263165,-2.3998496240601455,-0.4368421052631959,0.032800397147302984,-60.026162524281176,-2.6087414187642963,127.38533706997572
