Date,eurusd_close,gbpusd_close,usdchf_close,usdjpy_close,eurjpy_close,usdcad_close,audusd_close,ds,y,consumer_price_index,GDP_US,inflation,covid_US,covid_EU,US_UNRATE,FEDFUNDS,EU_INTEREST,EU_REPO,sentiment,sentiment1,neutral,positive,negative
2010-01-01,1.4389938116073608,1.6132936477661133,1.0339000225067139,92.91999816894531,133.7100067138672,1.051200032234192,0.8984725475311279,2010-01-01,1.4389938116073608,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-04,1.4423978328704834,1.6113698482513428,1.029099941253662,92.49500274658203,133.38999938964844,1.0410000085830688,0.9124919772148132,2010-01-04,1.4423978328704834,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-05,1.4365959167480469,1.599078893661499,1.0336999893188477,91.58499908447266,131.52999877929688,1.0394999980926514,0.9118264317512512,2010-01-05,1.4365959167480469,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-06,1.4404033422470093,1.602384328842163,1.0276000499725342,92.35600280761719,133.01300048828125,1.0319000482559204,0.9204712510108948,2010-01-06,1.4404033422470093,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-07,1.4318032264709473,1.5933969020843506,1.0335999727249146,93.38999938964844,133.7480010986328,1.034000039100647,0.9177680015563965,2010-01-07,1.4318032264709473,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-08,1.44110906124115,1.602410078048706,1.0235999822616577,92.66000366210938,133.49000549316406,1.0298000574111938,0.9250693917274475,2010-01-08,1.44110906124115,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-11,1.4511260986328125,1.6112918853759766,1.016700029373169,92.09200286865234,133.6199951171875,1.0338000059127808,0.9297136068344116,2010-01-11,1.4511260986328125,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-12,1.447659969329834,1.615169644355774,1.0188000202178955,91.08000183105469,131.83999633789062,1.039199948310852,0.9204712510108948,2010-01-12,1.447659969329834,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-13,1.4523905515670776,1.628611445426941,1.0176000595092773,91.43299865722656,132.74000549316406,1.0307999849319458,0.9242144227027893,2010-01-13,1.4523905515670776,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
2010-01-14,1.4499897956848145,1.6333998441696167,1.0185999870300293,91.26699829101562,132.3300018310547,1.0233999490737915,0.9313588738441467,2010-01-14,1.4499897956848145,217.488,14721.35,,0.0,0.0,9.8,0.11,0.43,0.52,,,,,
